"","Genre","n","total_NA_sales","total_EU_sales","total_JP_sales","total_Other_sales","total_Global_sales"
"1","Action",574,62.39,5.76,8.88,0.8,78
"2","Action-Adventure",7,0,0,0,0,0
"3","Adventure",155,2.57,0.52,1.61,0.08,4.78
"4","Fighting",29,3.96,0.72,3.97,0.11,8.76
"5","Misc",176,3.35,0.2,4.88,0.03,8.47
"6","Music",1,0,0,0,0,0
"7","Platform",208,90.26,14.54,37.17,2.43,144.42
"8","Puzzle",102,49.17,5.84,15.11,1.25,71.33
"9","Racing",71,9.85,1.55,3.69,0.25,15.34
"10","Role-Playing",134,1.06,0,17.04,1.51,19.61
"11","Shooter",300,72.9,4.37,8.28,1.04,86.63
"12","Simulation",52,0.42,0.12,0,0.02,0.57
"13","Sports",191,14.38,2.75,22.3,0.4,39.81
"14","Strategy",52,0,0,0,0,0
"15","Visual Novel",1,0,0,0,0,0
